"sitters_user_id","counties","sitters_member_id","sitters_sitter_has_review_yes_no","sitters_average_rating","sitters_total_number_of_reviews","sitters_birth_date","sitters_gender","sitters_zipcode","sitters_pay_min","sitters_pay_max","sitter_profiles_nanny_pay_rate","sitters_care_type","sitter_profiles_nanny_pay_min","sitter_profiles_education_completed","sitters_background_check_submitted_ever_yes_no","sitter_profiles_years_of_experience","sitter_profiles_comfortable_with_pets_yes_no","sitter_profiles_sick_children_yes_no","sitter_profiles_smoker_yes_no","sitter_profiles_childcare_profile_completed_yes_no","sitter_profiles_childcare_reference_count","sitter_profiles_homework_help_yes_no","sitter_profiles_cpr_certified_yes_no","sitter_profiles_first_aid_training_yes_no","sitter_profiles_childcare_access_to_transportation_yes_no","special_needs_yes_no","sitters_city","NA","laundry","travel_with_family","potty_training","crafts","swimming_supervision","light_housekeeping","meal_preparation","age_range","mean_pay_rate_sitters"
"4235e078-5235-50b0-994e-4059639c4ca3","Franklin",18471292,"No",NA,0,22,"female","01301","15","18","{""min"":1500,""max"":2000}","Nanny","$15.00","Some College","No",3,"Yes","Yes","No","Yes",1,"Yes","Yes","Yes","Yes","Yes","Greenfield",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","18-24",16.5
"2b2d8671-4cce-5b63-a0e6-3e5d4d371368","Worcester",18440217,"No",NA,0,54,"female","01453","15","20",NA,"Babysitter",NA,NA,"No",35,"No","No","No","Yes",NA,"Yes","Yes","Yes","No","Yes","Leominster","Yes",NA,NA,NA,NA,NA,NA,NA,"45-54",17.5
"87364d5f-e3f0-5666-9085-874e7abc80e1","Worcester",20431506,"No",NA,0,20,"female","01453","18","50","{""min"":1800,""max"":5000}","Nanny","$18.00","High School Degree","No",3,"Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","Yes","No","Leominster",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","18-24",34
"67f3e644-904f-5a16-a30c-cf71f5ed2718","Berkshire",19671788,"No",NA,0,31,"female","01201","20","25",NA,"Babysitter",NA,NA,"No",15,"Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","No","Yes","Allendale","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",22.5
"0e456344-6540-5eda-84b2-a0c8dc69512c","Hampden",17970714,"No",NA,0,58,"female","01085","13","25",NA,"Babysitter",NA,NA,"No",20,"Yes","No","No","Yes",NA,"No","No","No","No","No","Westfield","Yes",NA,NA,NA,NA,NA,NA,NA,"55-64",19
"e34c4124-3e03-53b3-bb33-aaccd17d7cec","Franklin",12064548,"No",NA,0,25,"female","01364","15","20",NA,"Babysitter",NA,"College Degree","No",3,"Yes","Yes","No","Yes",NA,"Yes","Yes","Yes","Yes","No","Orange",NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,"25-34",17.5
"2fd02d16-3ef5-5e4a-b1f0-a949b3edf1aa","Worcester",17444834,"No",NA,0,31,"female","01453","15","20",NA,"Babysitter",NA,NA,"No",5,"Yes","No","No","Yes",NA,"No","No","No","No","No","Leominster","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",17.5
"a388f4ea-d671-50b6-92d8-a2878079d65b","Worcester",17640791,"No",NA,0,23,"female","01453","10","17","{""min"":1000,""max"":1300}","Babysitter","$10.00","Some High School","No",5,"Yes","Yes","No","Yes",1,"Yes","Yes","Yes","No","Yes","Leominster",NA,"Yes","Yes","Yes","Yes","Yes","Yes",NA,"18-24",13.5
"eee372e2-5125-57a8-af14-94787ecec9fe","Berkshire",19308123,"No",NA,0,22,"female","01201","13","15",NA,"Babysitter",NA,NA,"No",4,"Yes","No","No","Yes",NA,"No","No","No","No","No","Pittsfield","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",14
"864f235d-f227-5c4c-bf7e-b5fee95683fd","Worcester",20315815,"No",NA,0,22,"female","01453",NA,NA,"{""min"":2000,""max"":3500}","Nanny","$20.00",NA,"No",0,"Yes","No","No","Yes",NA,"No","No","No","No","No","Leominster","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",NA
"601d4434-d2a8-5f2b-a6a9-2dfeb6a40ed5","Berkshire",13090991,"No",NA,0,39,"female","01201",NA,NA,"{""min"":800,""max"":1000}","Nanny","$8.00","Some College","No",5,"Yes","Yes","No","Yes",1,"Yes","No","No","No","Yes","Pittsfield",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","35-44",NA
"2692c6e9-6cfd-582d-aee7-8adb6519b621","Berkshire",19450143,"No",NA,0,21,"female","01201",NA,NA,"{""min"":1800,""max"":2400}","Nanny","$18.00",NA,"No",5,"Yes","No","No","Yes",NA,"No","No","No","No","No","Allendale","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",NA
"536ee7d5-e3bd-5288-82a8-d54db0ea38c9","Franklin",19459096,"No",NA,0,40,"female","01054",NA,NA,"{""min"":2000,""max"":2500}","Nanny","$20.00",NA,"No",20,"Yes","Yes","No","Yes",NA,"Yes","No","No","Yes","Yes","East Leverett","Yes",NA,NA,NA,NA,NA,NA,NA,"35-44",NA
